序号,书名,作家,译者,出版社,初版时间,定价,评分,评分人数,简述,图片链接
239,如父如子,[日] 是枝裕和,丹勇,湖南文艺出版社,2018-4,49.80,8.8,23264,None,https://img3.doubanio.com/view/subject/s/public/s29707420.jpg
240,消失的13级台阶,[日] 高野和明,赵建勋,上海文艺出版社,2020-5-15,42.00元,8.6,62854,None,https://img1.doubanio.com/view/subject/s/public/s34070178.jpg
241,会饮篇,[古希腊] 柏拉图,王太庆,商务印书馆,2013-1,12.00元,9.3,8526,None,https://img2.doubanio.com/view/subject/s/public/s25807032.jpg
242,给青年诗人的信,[古希腊] 柏拉图,王太庆,商务印书馆,2013-1,12.00元,9.1,11193,None,https://img1.doubanio.com/view/subject/s/public/s28378127.jpg
243,被讨厌的勇气,岸见一郎,渠海霞,机械工业出版社,2015-3-1,39.8,8.6,95043,None,https://img1.doubanio.com/view/subject/s/public/s29237648.jpg
244,黑箱,岸见一郎,渠海霞,机械工业出版社,2015-3-1,39.8,8.8,17969,None,https://img9.doubanio.com/view/subject/s/public/s30025945.jpg
245,金阁寺,[日] 三岛由纪夫,唐月梅,上海译文出版社,2009-1,24.00,8.7,31440,他的犯罪动机是对美的嫉妒,https://img3.doubanio.com/view/subject/s/public/s3511590.jpg
246,狂热分子,[美] 埃里克·霍弗,梁永安,广西师范大学出版社,2011-6,34.00元,8.9,13677,探讨群众运动的共有特征,https://img1.doubanio.com/view/subject/s/public/s28036829.jpg
247,显微镜下的大明,马伯庸,,湖南文艺出版社,2019-1,52.00元,8.7,25331,None,https://img2.doubanio.com/view/subject/s/public/s29960161.jpg
248,分成两半的子爵,[意] 伊塔洛·卡尔维诺,吴正仪,译林出版社,2012-4-1,20.00元,8.7,18996,None,https://img2.doubanio.com/view/subject/s/public/s8972073.jpg
249,社会契约论,[法] 卢梭,何兆武,商务印书馆,2003-2-1,18.00元,8.8,17697,一个国家只能有一个契约,https://img9.doubanio.com/view/subject/s/public/s1314606.jpg
250,巨流河,齐邦媛,,生活·读书·新知三联书店,2010-10,39.00元,8.7,29105,两代人从巨流河到哑口海的故事,https://img1.doubanio.com/view/subject/s/public/s4494379.jpg
