排名,电影名称(cn),电影名称(en),导演,上映年份,制作国家,类型,评分,评价分数,短评
61,Fight Club,搏击俱乐部,导演: 大卫·芬奇 David Fincher,1999,美国 德国 意大利,剧情 动作 悬疑 惊悚,9.0,775535,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
13,La leggenda del pianista sulloceano,海上钢琴师,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,1998,意大利,剧情 音乐,9.3,1538010,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
62,飲食男女,饮食男女,导演: 李安 Ang Lee,1994,中国台湾 美国,剧情 家庭,9.2,555211,人生不能像做菜，把所有的料都准备好了才下锅。
14,3 Idiots,三傻大闹宝莱坞,导演: 拉库马·希拉尼 Rajkumar Hirani,2009,印度,剧情 喜剧 爱情 歌舞,9.2,1715200,英俊版憨豆，高情商版谢耳朵。
63,A Beautiful Mind,美丽心灵,导演: 朗·霍华德 Ron Howard,2001,美国,传记 剧情,9.1,701394,爱是一切逻辑和原由。
15,WALL·E,机器人总动员,导演: 安德鲁·斯坦顿 Andrew Stanton,2008,美国,科幻 动画 冒险,9.3,1211082,小瓦力，大人生。
64,The Curious Case of Benjamin Button,本杰明·巴顿奇事,导演: 大卫·芬奇 David Fincher,2008,美国,剧情 爱情 奇幻,9.0,900650,在时间之河里感受溺水之苦。
16,Les choristes,放牛班的春天,导演: 克里斯托夫·巴拉蒂 Christophe Barratier,2004,法国 瑞士 德国,剧情 喜剧 音乐,9.3,1196692,天籁一般的童声，是最接近上帝的存在。 
65,Das Leben der Anderen,窃听风暴,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,2006,德国,剧情 悬疑,9.2,514116,别样人生。
17,無間道,无间道,导演: 刘伟强  麦兆辉,2002,中国香港,剧情 犯罪 惊悚,9.3,1214752,香港电影史上永不过时的杰作。
66,Love Letter,情书,导演: 岩井俊二 Shunji Iwai,1995,日本,剧情 爱情,8.9,982504,暗恋的极致。
18,Zootopia,疯狂动物城,导演: 拜伦·霍华德 Byron Howard  瑞奇·摩尔 Rich Moore,2016,美国,喜剧 动画 冒险,9.2,1728749,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
67,The Boy in the Striped Pajamas,穿条纹睡衣的男孩,导演: 马克·赫尔曼 Mark Herman,2008,英国 美国,剧情 战争,9.2,497317,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
19,西遊記大結局之仙履奇緣,大话西游之大圣娶亲,导演: 刘镇伟 Jeffrey Lau,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,9.2,1404187,一生所爱。
68,Lock  Stock and Two Smoking Barrels,两杆大烟枪,导演: Guy Ritchie,1998,英国,剧情 喜剧 犯罪,9.1,548414,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
20,도가니,熔炉,导演: 黄东赫 Dong-hyuk Hwang,2011,韩国,剧情,9.3,855128,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
69,Malèna,西西里的美丽传说,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,2000,意大利 美国,剧情 战争 情色,8.9,891462,美丽无罪。
21,Witness for the Prosecution,控方证人,导演: 比利·怀尔德 Billy Wilder,1957,美国,剧情 犯罪 悬疑,9.6,462386,比利·怀德满分作品。
70,Contratiempo,看不见的客人,导演: 奥里奥尔·保罗 Oriol Paulo,2016,西班牙,剧情 犯罪 悬疑 惊悚,8.8,1136908,你以为你以为的就是你以为的。
22,The Godfather,教父,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,1972,美国,剧情 犯罪,9.3,871309,千万不要记恨你的对手，这样会让你失去理智。
71,Saving Private Ryan,拯救大兵瑞恩,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,1998,美国,剧情 战争,9.1,591210,美利坚精神输出大片No1.
23,The Pursuit of Happyness,当幸福来敲门,导演: 加布里尔·穆奇诺 Gabriele Muccino,2006,美国,剧情 传记 家庭,9.2,1393864,平民励志片。 
72,The Sound of Music,音乐之声,导演: 罗伯特·怀斯 Robert Wise,1965,美国,剧情 传记 爱情 歌舞,9.1,546957,用音乐化解仇恨，让歌声串起美好。
82,The Butterfly Effect,蝴蝶效应,导演: 埃里克·布雷斯 Eric Bress  J·麦基·格鲁伯 J. Mackye Gruber,2004,美国 加拿大,剧情 悬疑 科幻 惊悚,8.8,853635,人的命运被自己瞬间的抉择改变。
73,One Flew Over the Cuckoos Nest,飞越疯人院,导演: 米洛斯·福尔曼 Miloš Forman,1975,美国,剧情,9.1,509262,自由万岁。
83,Once Upon a Time in America,美国往事,导演: 赛尔乔·莱翁内 Sergio Leone,1984,美国 意大利,犯罪 剧情,9.2,377041,往事如烟，无处祭奠。
74,بچه های آسمان,小鞋子,导演: 马基德·马基迪 Majid Majidi,1997,伊朗,剧情 儿童 家庭,9.2,372102,奔跑的孩子是天使。
84,Good Will Hunting,心灵捕手,导演: 格斯·范·桑特 Gus Van Sant,1997,美国,剧情,8.9,645200,人生中应该拥有这样的一段豁然开朗。
75,Avatar,阿凡达,导演: 詹姆斯·卡梅隆 James Cameron,2009,美国,动作 科幻 冒险,8.8,1267464,绝对意义上的美轮美奂。
85,Pulp Fiction,低俗小说,导演: 昆汀·塔伦蒂诺 Quentin Tarantino,1994,美国,剧情 喜剧 犯罪,8.9,758471,故事的高级讲法。
86,春光乍洩,春光乍泄,导演: 王家卫 Kar Wai Wong,1997,中国香港 日本 韩国,剧情 爱情 同性,9.0,573022,爱情纠缠，男女一致。
105,おくりびと,入殓师,导演: 泷田洋二郎 Yôjirô Takita,2008,日本,剧情,8.9,604989,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
87,Modern Times,摩登时代,导演: 查理·卓别林 Charles Chaplin,1936,美国,剧情 喜剧 爱情,9.3,270048,大时代中的人生，小人物的悲喜。
106,The Sixth Sense,第六感,导演: M·奈特·沙马兰 M. Night Shyamalan,1999,美国,剧情 悬疑 惊悚,8.9,505766,深入内心的恐怖，出人意料的结局。
88,Se7en,七宗罪,导演: 大卫·芬奇 David Fincher,1995,美国,剧情 犯罪 悬疑 惊悚,8.8,872363,警察抓小偷，老鼠玩死猫。
107,Le fabuleux destin dAmélie Poulain,天使爱美丽,导演: 让-皮埃尔·热内 Jean-Pierre Jeunet,2001,法国 德国,剧情 喜剧 爱情,8.7,906638,法式小清新。 
24,Intouchables,触不可及,导演: 奥利维·那卡什 Olivier Nakache  艾力克·托兰达 Eric Toledano,2011,法国,剧情 喜剧,9.3,975936,满满温情的高雅喜剧。
108,Harry Potter and the Chamber of Secrets,哈利·波特与密室,导演: Chris Columbus,2002,英国 美国,奇幻 冒险,8.8,655905,魔法的密室之门已打开...
25,Flipped,怦然心动,导演: 罗伯·莱纳 Rob Reiner,2010,美国,剧情 喜剧 爱情,9.1,1670953,真正的幸福是来自内心深处。
109,Before Sunrise,爱在黎明破晓前,导演: 理查德·林克莱特 Richard Linklater,1995,美国 奥地利 瑞士,剧情 爱情,8.8,601126,缘分是个连绵词，最美不过一瞬。
110,重慶森林,重庆森林,导演: 王家卫 Kar Wai Wong,1994,中国香港,剧情 爱情,8.8,730451,寂寞没有期限。
89,喜劇之王,喜剧之王,导演: 周星驰 Stephen Chow  李力持 Lik-Chi Lee,1999,中国香港,喜剧 剧情 爱情,8.8,878612,我是一个演员。
111,Yi yi    Yi yi: A One and a Two,一一,导演: 杨德昌 Edward Yang,2000,中国台湾 日本,剧情 爱情 家庭,9.1,335819,我们都曾经是一一。
90,Identity,致命ID,导演: 詹姆斯·曼高德 James Mangold,2003,美国,剧情 悬疑 惊悚,8.8,740704,最不可能的那个人永远是最可能的。
112,もののけ姫,幽灵公主,导演: 宫崎骏 Hayao Miyazaki,1997,日本,动画 奇幻 冒险,8.9,480495,人与自然的战争史诗。
29,The Dark Knight,蝙蝠侠：黑暗骑士,导演: 克里斯托弗·诺兰 Christopher Nolan,2008,美国 英国,剧情 动作 科幻 犯罪 惊悚,9.2,965250,无尽的黑暗。
113,The Dark Knight Rises,蝙蝠侠：黑暗骑士崛起,导演: 克里斯托弗·诺兰 Christopher Nolan,2012,美国 英国,剧情 动作 科幻 犯罪 惊悚,8.8,657720,诺兰就是保证。
30,人生    Lifetimes,活着,导演: 张艺谋 Yimou Zhang,1994,中国大陆 中国香港,剧情 历史 家庭,9.3,751859,张艺谋最好的电影。
114,リトル・フォレスト 夏・秋,小森林 夏秋篇,导演: 森淳一 Junichi Mori,2014,日本,剧情,9.0,388704,那些静得只能听见呼吸的日子里，你明白孤独即生活。
31,Harry Potter and the Sorcerers Stone,哈利·波特与魔法石,导演: Chris Columbus,2001,美国 英国,奇幻 冒险,9.1,1048205,童话世界的开端。
115,In the Heat of the Sun,阳光灿烂的日子,导演: 姜文 Wen Jiang,1994,中国大陆 中国香港,剧情 爱情,8.8,562107,一场华丽的意淫。
32,The Lord of the Rings: The Return of the King,指环王3：王者无敌,导演: 彼得·杰克逊 Peter Jackson,2003,美国 新西兰,剧情 动作 奇幻 冒险,9.3,730435,史诗的终章。
91,살인의 추억,杀人回忆,导演: 奉俊昊 Joon-ho Bong,2003,韩国,剧情 动作 犯罪 悬疑 惊悚,8.9,632464,关于连环杀人悬案的集体回忆。
33,Gone with the Wind,乱世佳人,导演: 维克多·弗莱明 Victor Fleming  乔治·库克 George Cukor,1939,美国,剧情 历史 爱情 战争,9.3,630743,Tomorrow is another day.
92,功夫3D    Kung Fu Hustle,功夫,导演: 周星驰 Stephen Chow,2004,中国大陆 中国香港,动作 喜剧 犯罪 奇幻,8.7,981879,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
34,소원,素媛,导演: 李濬益 Jun-ik Lee,2013,韩国,剧情,9.3,619190,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
93,Detachment,超脱,导演: 托尼·凯耶 Tony Kaye,2011,美国,剧情,9.0,502125,穷尽一生，我们要学会的，不过是彼此拥抱。
116,菊次郎の夏,菊次郎的夏天,导演: 北野武 Takeshi Kitano,1999,日本,剧情 喜剧,8.9,536899,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
94,Harry Potter and the Prisoner of Azkaban,哈利·波特与阿兹卡班的囚徒,导演: Alfonso Cuarón,2004,英国 美国,奇幻 冒险,8.9,629769,不一样的导演，不一样的哈利·波特。
117,Big Hero 6,超能陆战队,导演: 唐·霍尔 Don Hall  克里斯·威廉姆斯 Chris Williams,2014,美国,喜剧 动作 科幻 动画 冒险,8.7,920787,Balalala~~~
95,Pirates of the Caribbean: The Curse of the Black Pearl,加勒比海盗,导演: 戈尔·维宾斯基 Gore Verbinski,2003,美国,动作 冒险 奇幻,8.8,785545,约翰尼·德普的独角戏。
118,A Perfect World,完美的世界,导演: 克林特·伊斯特伍德 Clint Eastwood,1993,美国,剧情 犯罪,9.1,278840,坏人的好总是比好人的好来得更感人。
96,嫌われ松子の一生,被嫌弃的松子的一生,导演: 中岛哲也 Tetsuya Nakashima,2006,日本,剧情 歌舞,8.9,653753,以戏谑来戏谑戏谑。
119,誰も知らない,无人知晓,导演: 是枝裕和 Hirokazu Koreeda,2004,日本,剧情,9.1,283833,我的平常生活就是他人的幸福。
97,パプリカ,红辣椒,导演: 今敏 Satoshi Kon,2006,日本,动画 悬疑 科幻 惊悚,9.0,403525,梦的勾结。
120,Before Sunset,爱在日落黄昏时,导演: 理查德·林克莱特 Richard Linklater,2004,美国 法国,剧情 爱情,8.9,495523,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
