排名,电影名称(cn),电影名称(en),导演,上映年份,制作国家,类型,评分,评价分数,短评
148,I Am Sam,我是山姆,导演: 杰茜·尼尔森 Jessie Nelson,2001,美国,剧情 家庭,9.0,304473,爱并不需要智商 。
159,Saw,电锯惊魂,导演: 詹姆斯·温 James Wan,2004,美国,悬疑 惊悚 恐怖,8.7,480092,真相就在眼前。
149,Harry Potter and the Goblet of Fire,哈利·波特与火焰杯,导演: 迈克·内威尔 Mike Newell,2005,英国 美国,悬疑 奇幻 冒险,8.7,571011,None
160,Three Billboards Outside Ebbing  Missouri,三块广告牌,导演: 马丁·麦克唐纳 Martin McDonagh,2017,美国 英国,剧情 犯罪,8.7,755877,怼天怼地，你走后，她与世界为敌。
177,Relatos salvajes,荒蛮故事,导演: 达米安·斯兹弗隆 Damián Szifron,2014,阿根廷 西班牙,剧情 喜剧 犯罪,8.8,402090,始于荒诞，止于更荒诞。
161,Hotel Rwanda,卢旺达饭店,导演: 特瑞·乔治 Terry George,2004,英国 南非 意大利 美国,剧情 传记 历史 战争,8.9,296659,当这个世界闭上双眼，他却敞开了怀抱。
178,Before Midnight,爱在午夜降临前,导演: 理查德·林克莱特 Richard Linklater,2013,美国 希腊,剧情 爱情,8.8,348518,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
162,君の名は。,你的名字。,导演: 新海诚 Makoto Shinkai,2016,日本,剧情 爱情 动画,8.5,1263396,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
201,Kekexili: Mountain Patrol,可可西里,导演: 陆川 Chuan Lu,2004,中国大陆 中国香港,剧情 犯罪,8.9,273253,坚硬的信仰。
179,The Green Mile,绿里奇迹,导演: Frank Darabont,1999,美国,犯罪 剧情 奇幻 悬疑,8.9,290204,天使暂时离开。
163,Dallas Buyers Club,达拉斯买家俱乐部,导演: 让-马克·瓦雷 Jean-Marc Vallée,2013,美国,剧情 传记 同性,8.8,414903,Jared Leto的腿比女人还美！
202,The Great Buddha+,大佛普拉斯,导演: 黄信尧 Hsin-yao Huang,2017,中国台湾,剧情 喜剧,8.7,398344,人们可以登上月球，却永远无法探索人们内心的宇宙。
180,Whiplash,爆裂鼓手,导演: 达米恩·查泽雷 Damien Chazelle,2014,美国,剧情 音乐,8.7,525175,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
150,Hacksaw Ridge,血战钢锯岭,导演: 梅尔·吉布森 Mel Gibson,2016,澳大利亚 美国,剧情 传记 历史 战争,8.7,724328,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
181,万引き家族,小偷家族,导演: 是枝裕和 Hirokazu Koreeda,2018,日本,剧情 犯罪 家庭,8.7,753582,我们组成了家。
164,The Croods,疯狂原始人,导演: 科克·德·米科 Kirk De Micco  克里斯·桑德斯 Chris Sanders,2013,美国,喜剧 动画 冒险,8.7,774535,老少皆宜，这就是好莱坞动画的魅力。
203,無間道II,无间道2,导演: 刘伟强  麦兆辉,2003,中国香港,剧情 犯罪 惊悚,8.7,413209,None
165,Cidade de Deus,上帝之城,导演: 费尔南多·梅里尔斯 Fernando Meirelles  卡迪亚·兰德 Kátia Lund  &nbsp...,2002,巴西 法国,犯罪 剧情,9.0,278594,被上帝抛弃了的上帝之城。
204,牯嶺街少年殺人事件,牯岭街少年杀人事件,导演: 杨德昌 Edward Yang,1991,中国台湾,剧情 犯罪,8.9,254185,弱者送给弱者的一刀。
166,The Bourne Ultimatum,谍影重重3,导演: 保罗·格林格拉斯 Paul Greengrass,2007,美国 德国,动作 悬疑 惊悚,8.8,385462,像吃了苏打饼一样干脆的电影。
182,Slumdog Millionaire,贫民窟的百万富翁,导演: 丹尼·鲍尔 Danny Boyle  洛芙琳·坦丹 Loveleen Tandan,2008,英国,剧情 爱情,8.6,691126,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
167,A Better Tomorrow    Gangland Boss,英雄本色,导演: 吴宇森 John Woo,1986,中国香港,剧情 动作 犯罪,8.6,482792,英雄泪短，兄弟情长。 
226,歩いても 歩いても,步履不停,导演: 是枝裕和 Hirokazu Koreeda,2008,日本,剧情 家庭,8.8,251478,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
183,色|戒    色·戒,色，戒,导演: 李安 Ang Lee,2007,中国台湾 中国大陆 美国 中国香港,剧情 爱情 情色,8.6,677614,假戏真情，爱欲深海
227,The Matrix Reloaded,黑客帝国2：重装上阵,导演: 拉娜·沃卓斯基 Lana Wachowski  莉莉·沃卓斯基 Lilly Wachowski,2003,美国,动作 科幻,8.7,371758,一个精彩的世界观正在缓缓建立。
184,Love Actually,真爱至上,导演: 理查德·柯蒂斯 Richard Curtis,2003,英国 美国 法国,喜剧 剧情 爱情,8.6,671358,爱，是个动词。
228,Coherence,彗星来的那一夜,导演: 詹姆斯·沃德·布柯特 James Ward Byrkit,2013,美国 英国,科幻 悬疑 惊悚,8.5,506051,小成本大魅力。
185,東邪西毒,东邪西毒,导演: 王家卫 Kar Wai Wong,1994,中国香港 中国台湾,剧情 动作 爱情 武侠 古装,8.6,531879,电影诗。
205,La grande vadrouille,虎口脱险,导演: 杰拉尔·乌里 Gérard Oury,1966,法国 英国,喜剧 战争,8.9,228801,永远看不腻的喜剧。
186,Wreck-It Ralph,无敌破坏王,导演: 瑞奇·莫尔 Rich Moore,2012,美国,喜剧 动画 奇幻 冒险,8.7,487068,迪士尼和皮克斯拿错剧本的产物。
206,Source Code,源代码,导演: 邓肯·琼斯 Duncan Jones,2011,美国 加拿大,科幻 悬疑 惊悚,8.5,768551,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
187,Crazy Stone,疯狂的石头,导演: 宁浩 Hao Ning,2006,中国大陆 中国香港,喜剧 犯罪,8.5,741541,中国版《两杆大烟枪》。
207,Artificial Intelligence: AI,人工智能,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,2001,美国 英国,剧情 科幻,8.7,404177,对爱的执着，可以超越一切。
188,Ice Age,冰川时代,导演: 卡洛斯·沙尔丹哈 Carlos Saldanha  克里斯·韦奇 Chris Wedge,2002,美国,喜剧 动画 冒险,8.6,562786,松鼠才是角儿。
208,สิ่งเล็กเล็กที่เรียกว่า...รัก,初恋这件小事,导演: 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn  华森·波克彭...,2010,泰国,剧情 喜剧 爱情,8.5,918140,黑小鸭速效美白记。
168,風の谷のナウシカ,风之谷,导演: 宫崎骏 Hayao Miyazaki,1984,日本,动画 奇幻 冒险,8.9,330060,动画片的圣经。
209,Manchester by the Sea,海边的曼彻斯特,导演: 肯尼斯·罗纳根 Kenneth Lonergan,2016,美国,剧情 家庭,8.6,459054,我们都有权利不与自己的过去和解。
169,殡棺    The Coffin in the Mountain,心迷宫,导演: 忻钰坤 Yukun Xin,2014,中国大陆,剧情 犯罪 悬疑,8.7,465819,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
210,背对背，脸对脸    Back to Back  Face to Face,背靠背，脸对脸,导演: 黄建新 Jianxin Huang  杨亚洲 Yazhou Yang,1994,中国大陆 中国香港,剧情,9.5,103583,None
170,Psycho,惊魂记,导演: 阿尔弗雷德·希区柯克 Alfred Hitchcock,1960,美国,悬疑 惊悚 恐怖,9.0,250546,故事的反转与反转，分裂电影的始祖。
211,東京ゴッドファーザーズ,东京教父,导演: 今敏 Satoshi Kon,2003,日本,剧情 喜剧 动画,9.0,187525,None
171,九品芝麻官之白面包青天    Hail the Judge,九品芝麻官,导演: 王晶 Jing Wong,1994,中国香港 中国大陆,剧情 喜剧 古装,8.7,590092,None
212,Joker,小丑,导演: 托德·菲利普斯 Todd Phillips,2019,美国 加拿大,剧情 犯罪 惊悚,8.7,916018,None
172,緃横四海,纵横四海,导演: 吴宇森 John Woo,1991,中国香港,剧情 喜剧 动作 犯罪,8.8,380740,香港浪漫主义警匪动作片的巅峰之作。
213,羅生門,罗生门,导演: 黑泽明 Akira Kurosawa,1950,日本,剧情 犯罪 悬疑,8.8,284023,人生的N种可能性。
173,海街diary,海街日记,导演: 是枝裕和 Hirokazu Koreeda,2015,日本,剧情 家庭,8.8,399966,是枝裕和的家庭习作。
214,Terminator 2: Judgment Day,终结者2：审判日,导演: 詹姆斯·卡梅隆 James Cameron,1991,美国 法国,动作 科幻,8.8,312742,少见的超越首部的续集，动作片中的经典。
174,歲月神偷,岁月神偷,导演: 罗启锐 Alex Law,2010,中国香港 中国大陆,剧情 家庭,8.7,539467,岁月流逝，来日可追。
229,Lord of War,战争之王,导演: 安德鲁·尼科尔 Andrew Niccol,2005,法国 德国 美国,剧情 犯罪,8.7,331140,做一颗让别人需要你的棋子。
175,Memento,记忆碎片,导演: 克里斯托弗·诺兰 Christopher Nolan,2000,美国,犯罪 剧情 悬疑 惊悚,8.7,555948,一个针管引发的血案。
230,崖の上のポニョ,崖上的波妞,导演: 宫崎骏 Hayao Miyazaki,2008,日本,动画 奇幻 冒险,8.6,434059,None
231,Soul,心灵奇旅,导演: 彼特·道格特 Pete Docter  凯普·鲍尔斯 Kemp Powers,2020,美国,动画 奇幻 音乐,8.7,860018,None
189,Singin in the Rain,雨中曲,导演: 斯坦利·多南 Stanley Donen  吉恩·凯利 Gene Kelly,1952,美国,喜剧 歌舞 爱情,9.1,196305,骨灰级歌舞片。
232,La La Land,爱乐之城,导演: 达米恩·查泽雷 Damien Chazelle,2016,美国,剧情 爱情 歌舞,8.4,791552,None
190,Black Swan,黑天鹅,导演: 达伦·阿罗诺夫斯基 Darren Aronofsky,2010,美国,剧情 惊悚,8.6,734299,黑暗之美。
233,The Bourne Supremacy,谍影重重2,导演: 保罗·格林格拉斯 Paul Greengrass,2004,美国 德国,动作 悬疑 惊悚,8.7,323279,谁说王家卫镜头很晃？
191,おまえうまそうだな,你看起来好像很好吃,导演: 藤森雅也 Masaya Fujimori,2010,日本,剧情 动画 儿童,8.9,305370,感情不分食草或者食肉。
234,Legends of the Fall,燃情岁月,导演: 爱德华·兹威克 Edward Zwick,1994,美国,剧情 爱情 战争 西部,8.8,264559,传奇，不是每个人都可以拥有。
192,Triangle,恐怖游轮,导演: 克里斯托弗·史密斯 Christopher Smith,2009,英国 澳大利亚,剧情 悬疑 惊悚,8.5,761896,不要企图在重复中寻找已经失去的爱。
235,阿飛正傳,阿飞正传,导演: 王家卫 Kar Wai Wong,1990,中国香港,犯罪 剧情 爱情,8.5,460749,王家卫是一种风格，张国荣是一个代表。
193,2001: A Space Odyssey,2001太空漫游,导演: 斯坦利·库布里克 Stanley Kubrick,1968,英国 美国,科幻 惊悚 冒险,8.9,281828,现代科幻电影的开山之作，最伟大导演的最伟大影片。
236,Océans,海洋,导演: 雅克·贝汉 Jacques Perrin  雅克·克鲁奥德 Jacques Cluzaud,2009,法国 瑞士 西班牙 美国 阿联酋 摩纳哥,纪录片,9.1,149221,大海啊，不全是水。
194,Rain Man,雨人,导演: 巴瑞·莱文森 Barry Levinson,1988,美国,剧情,8.7,372796,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
237,The Bourne Identity,谍影重重,导演: 道格·里曼 Doug Liman,2002,美国 德国 捷克,动作 悬疑 惊悚,8.6,388539,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
195,The Teahouse,茶馆,导演: 谢添 Tian Xie,1982(中国大陆),中国大陆,剧情 历史,9.5,101977,None
238,Begin Again,再次出发之纽约遇见你,导演: 约翰·卡尼 John Carney,2013,美国,喜剧 爱情 音乐,8.6,393079,爱我就给我看你的播放列表。
215,Green Snake,青蛇,导演: 徐克 Hark Tsui,1993,中国香港 中国大陆,剧情 爱情 奇幻 古装,8.6,475500,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
239,時をかける少女,穿越时空的少女,导演: 细田守 Mamoru Hosoda,2006,日本,剧情 爱情 科幻 动画,8.6,353219,爱上未来的你。 
216,Wonder,奇迹男孩,导演: 斯蒂芬·卓博斯基 Stephen Chbosky,2017,美国 中国香港,剧情 儿童 家庭,8.6,513839,世界不完美，爱会有奇迹。
240,The Martian,火星救援,导演: 雷德利·斯科特 Ridley Scott,2015,英国 美国 匈牙利 约旦,剧情 科幻 冒险,8.5,648932,None
217,Twenty Two    22,二十二,导演: 郭柯 Ke Guo,2015,中国大陆,纪录片,8.7,273242,有一些东西不应该被遗忘。
241,Thelma & Louise,末路狂花,导演: 雷德利·斯科特 Ridley Scott,1991,美国 英国 法国,犯罪 剧情 惊悚,8.9,211839,没有了退路，只好飞向自由。
218,Bohemian Rhapsody,波西米亚狂想曲,导演: 布莱恩·辛格 Bryan Singer,2018,英国 美国,剧情 传记 同性 音乐,8.6,543619,None
242,The Reader,朗读者,导演: 史蒂芬·戴德利 Stephen Daldry,2008,美国 德国,剧情 爱情,8.6,426282,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
219,Room,房间,导演: 伦尼·阿伯拉罕森 Lenny Abrahamson,2015,爱尔兰 加拿大 英国 美国,剧情 家庭,8.8,346404,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
243,Perfume: The Story of a Murderer,香水,导演: 汤姆·提克威 Tom Tykwer,2006,德国 法国 西班牙 美国 比利时,剧情 犯罪 奇幻,8.5,506409,一个单凭体香达到高潮的男人。
220,Mad Max: Fury Road,疯狂的麦克斯4：狂暴之路,导演: 乔治·米勒 George Miller,2015,澳大利亚 美国,动作 科幻 冒险,8.6,479389,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
244,Taare Zameen Par,地球上的星星,导演: 阿米尔·汗 Aamir Khan,2007,印度,剧情 儿童 家庭,8.9,188661,天使保护事件始末。
221,新龍門客棧,新龙门客栈,导演: 李惠民 Raymond Lee,1992,中国香港 中国大陆,动作 爱情 武侠 古装,8.6,402384,嬉笑怒骂，调风动月。
245,그대를 사랑합니다,我爱你,导演: 秋昌民 Chang-min Choo,2011,韩国,剧情 爱情,9.1,151369,你要相信，这世上真的有爱存在，不管在什么年纪 
222,Inglourious Basterds,无耻混蛋,导演: Quentin Tarantino,2009,德国 美国,剧情 犯罪,8.6,432284,昆汀同学越来越变态了，比北野武还杜琪峰。
196,The Notebook,恋恋笔记本,导演: 尼克·卡索维茨 Nick Cassavetes,2004,美国,剧情 爱情,8.6,609619,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
223,Waterloo Bridge,魂断蓝桥,导演: 茂文·勒鲁瓦 Mervyn LeRoy,1940,美国,剧情 爱情 战争,8.8,253277,中国式内在的美国电影。
197,魔女の宅急便,魔女宅急便,导演: 宫崎骏 Hayao Miyazaki,1989,日本,动画 奇幻 冒险,8.7,416373,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
224,Blood Diamond,血钻,导演: 爱德华·兹威克 Edward Zwick,2006,美国 德国 英国,剧情 惊悚 冒险,8.7,342916,每个美丽事物背后都是滴血的现实。
198,The Bucket List,遗愿清单,导演: 罗伯·莱纳 Rob Reiner,2007,美国,冒险 喜剧 剧情,8.7,396777,用剩余不多的时间，去燃烧整个生命。
225,Gattaca,千钧一发,导演: 安德鲁·尼科尔 Andrew Niccol,1997,美国,剧情 科幻 惊悚,8.8,258748,一部能引人思考的科幻励志片。
199,City Lights,城市之光,导演: Charles Chaplin,1931,美国,喜剧 剧情 爱情,9.3,128916,永远的小人物，伟大的卓别林。
200,火垂るの墓,萤火虫之墓,导演: 高畑勋 Isao Takahata,1988,日本,动画 剧情 战争,8.7,379734,幸福是生生不息，却难以触及的远。 
246,Perfetti sconosciuti,完美陌生人,导演: 保罗·格诺维瑟 Paolo Genovese,2016,意大利,剧情 喜剧,8.5,488801,来啊，互相伤害啊！
247,千年女優,千年女优,导演: 今敏 Satoshi Kon,2001,日本,动画 剧情 爱情,8.8,226541,爱情是一场没有尽头的虚幻追逐。
248,Mr. Donkey,驴得水,导演: 周申 Shen Zhou  刘露 Lu Liu,2016,中国大陆,剧情 喜剧,8.3,848613,过去的如果就让它过去了，未来只会越来越糟！
249,Spotlight,聚焦,导演: 托马斯·麦卡锡 Thomas McCarthy,2015,美国,剧情 传记,8.8,253567,新闻人的理性求真。
250,Die Welle,浪潮,导演: 丹尼斯·甘塞尔 Dennis Gansel,2008,德国,剧情 惊悚,8.7,253679,世界离独裁只有五天。
